A,B,C,D,E,F,G,H,I,J,K,L,WC,we,negate,compare,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,certain,health,achieve,reward,risk,work,leisure,home,death,swear,netspeak
salesforce,2019-12-31 16:00:39,1212040882339356672,Your 2019 in emojis 👇,Your 2019 in emojis 👇,,,14,118,,en,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nasdaq,2020-01-01 05:17:19,1212241370829803520,"┏━━┓┏━━┓┏━━┓┏━━┓
┗━┓┃┃┏┓┃┗━┓┃┃┏┓┃
┏━┛┃┃┃┃┃┏━┛┃┃┃┃┃
NASDAQ     REWRITE   TOMORROW
┃┏━┛┃┃┃┃┃┏━┛┃┃┃┃
┃┗━┓┃┗┛┃┃┗━┓┃┗┛┃
┗━━┛┗━━┛┗━━┛┗━━q","┏━━┓┏━━┓┏━━┓┏━━┓
┗━┓┃┃┏┓┃┗━┓┃┃┏┓┃
┏━┛┃┃┃┃┃┏━┛┃┃┃┃┃
NASDAQ     REWRITE   TOMORROW
┃┏━┛┃┃┃┃┃┏━┛┃┃┃┃
┃┗━┓┃┗┛┃┃┗━┓┃┗┛┃
┗━━┛┗━━┛┗━━┛┗━━q",,,24,110,,en,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldmanSachs,2020-01-14 21:30:00,1217197196245983232,REMINDER: $GS earnings will be released tomorrow on this account at 7:25 a.m. ET. Visit us here to read the release.,REMINDER: $GS earnings will be released tomorrow on this account at 7:25 a.m. ET. Visit us here to read the release.,,,7,21,,en,,23,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,4.35,0.0,0.0,0.0,0.0,0.0
salesforce,2020-01-19 16:00:05,1218926107203817472,"Us collecting new badges on @trailhead.
                 
　　( ㅎ_ㅎ)　    
　┌/つ/￣￣￣/ 
￣￣＼/＿＿＿/￣","Us collecting new badges on @trailhead.
                 
　　( ㅎ_ㅎ)　    
　┌/つ/￣￣￣/ 
￣￣＼/＿＿＿/￣",,,17,129,,en,,9,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-01-29 20:33:05,1222618691512102912,"🧐Fill in the blank 

#IoT generates mountains of _____, and new insights into organizational or equipment performance and health.","🧐Fill in the blank 

#IoT generates mountains of _____, and new insights into organizational or equipment performance and health.",,,1,12,,en,,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0
salesforce,2020-02-03 16:00:30,1224362030116765698,Has anyone seen Astro?,Has anyone seen Astro?,,,5,50,,en,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salesforce,2020-02-06 16:00:27,1225449182137327616,"If you need to look busy on your phone, quick, drop us a reply and see what happens.","If you need to look busy on your phone, quick, drop us a reply and see what happens.",,,12,270,,en,,18,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
salesforce,2020-02-14 16:00:18,1228348249544761344,"Roses are red
My logo is blue
Reply with 💌 and I will write a Valentine for you...","Roses are red
My logo is blue
Reply with 💌 and I will write a Valentine for you...",,,40,881,,en,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.65,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0
salesforce,2020-02-15 16:00:04,1228710575926063105,"boss: Go tweet about the Spring ‘20 #SalesforceRelease

me: Consider it done","boss: Go tweet about the Spring ‘20 #SalesforceRelease

me: Consider it done",,,13,64,,en,,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-02-16 02:32:36,1228869760395276290,"🧐😎POP QUIZ
Which 2 paired technologies have a potential for BOTH monetization and enhanced customer experience in 2020?","🧐😎POP QUIZ
Which 2 paired technologies have a potential for BOTH monetization and enhanced customer experience in 2020?",,,1,11,,en,,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0
salesforce,2020-02-18 16:02:03,1229798241400651782,"Adult me: I've outgrown my stuffed animals.

Also me: My desk is covered in Salesforce character plushies.","Adult me: I've outgrown my stuffed animals.

Also me: My desk is covered in Salesforce character plushies.",,,25,225,,en,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0
salesforce,2020-02-20 16:00:34,1230522640458276865,"Be the change* you want to see in the world.

*ᵖˡᵃᵗᶠᵒʳᵐ ᶠᵒʳ ᶜʰᵃⁿᵍᵉ","Be the change* you want to see in the world.

*ᵖˡᵃᵗᶠᵒʳᵐ ᶠᵒʳ ᶜʰᵃⁿᵍᵉ",,,17,106,,en,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cognizant,2020-02-21 02:56:21,1230687675041992704,"POP QUIZ❓🧐
Which UX approach allows customers to take control?
#SoftwareDevelopment #CX","POP QUIZ❓🧐
Which UX approach allows customers to take control?
#SoftwareDevelopment #CX",,,1,3,,en,,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,16.67,0.0,0.0,0.0,0.0,0.0
salesforce,2020-02-22 16:00:11,1231247319539912704,"Working in silos: ★ ☆ ☆ ☆ ☆ 
#Customer360: ★ ★ ★ ★ ★","Working in silos: ★ ☆ ☆ ☆ ☆ 
#Customer360: ★ ★ ★ ★ ★",,,5,46,,en,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
salesforce,2020-02-24 16:00:35,1231972196878299137,"single: ¹
couple: ²
#Trailblazercommunity: ∞","single: ¹
couple: ²
#Trailblazercommunity: ∞",,,4,33,,en,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
